llol,2026-02-06,Культура,Помощь пенсионерам,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-06,Экология,Помощь в организации мероприятия,Есть
admin,2026-03-08,Экология,Участие в субботнике,Есть
admin,2026-03-14,Экология,Участие в субботнике,Есть
admin,2026-03-20,Экология,Участие в субботнике,Есть
admin,2026-03-25,Экология,Помощь в организации мероприятия,Есть
